iter	RMSE
0	1308.77802
1	1266.172471
2	1224.183059
3	1184.537326
4	1144.853253
5	1107.952024
6	1071.667327
7	1036.588124
8	1005.025001
9	972.6206217
10	942.951211
11	912.8361926
12	884.3786389
13	857.3318805
14	832.0833551
15	806.8546418
16	783.0077005
17	760.7325453
18	738.5616954
19	717.5777081
20	696.8155069
21	676.9409607
22	658.1651919
23	640.9301913
24	623.9634828
25	606.9590586
26	591.5673172
27	576.5873849
28	562.4154378
29	548.6607712
30	535.526222
31	522.6640807
32	510.9082253
33	499.0727961
34	488.541044
35	477.8187723
36	467.3730885
37	457.2379673
38	447.1670021
39	438.3247922
40	429.609986
41	421.3263066
42	413.6055718
43	405.8420342
44	398.4836021
45	391.5095296
46	384.7650487
47	378.6547389
48	372.417932
49	366.7878369
50	361.5438902
51	356.1713094
52	350.931572
53	346.317227
54	341.8528355
55	337.2848661
56	333.205853
57	329.0073929
58	324.6959939
59	321.0378917
60	317.4671736
61	314.0201284
62	310.4518372
63	307.2084896
64	304.099275
65	301.0081792
66	298.3342752
67	295.8546144
68	292.6113158
69	290.1037149
70	287.6364131
71	285.2393716
72	282.7391057
73	280.0602009
74	277.6349443
75	274.8729162
76	272.7023575
77	270.5879372
78	268.5651622
79	266.7986695
80	265.0964928
81	262.8029092
82	260.5780443
83	258.7777518
84	257.0722124
85	255.4720303
86	254.0546482
87	252.7884686
88	251.4238701
89	250.1705627
90	248.9427714
91	247.5935041
92	246.3825093
93	245.3664628
94	244.2442627
95	242.6700355
96	241.020053
97	239.9949402
98	238.5274727
99	237.5645354
100	236.6516219
101	235.7645175
102	234.3743848
103	233.410511
104	232.3678554
105	231.2809195
106	230.4908971
107	229.6397172
108	228.8284506
109	227.7556088
110	226.889051
111	226.1943002
112	225.0854666
113	224.4082775
114	223.6222609
115	222.927082
116	222.4127792
117	221.3439909
118	220.4051288
119	219.0839831
120	217.8664827
121	217.1496046
122	216.4270816
123	215.7198642
124	214.9281052
125	214.3193835
126	213.2248048
127	212.4778124
128	211.4346047
129	210.6215959
130	209.6998378
131	209.1730392
132	208.4707918
133	207.9323488
134	207.1931436
135	206.6907951
136	205.7041856
137	204.9526175
138	204.4633026
139	204.0775267
140	203.0578338
141	202.0886324
142	201.642365
143	200.7746325
144	200.1829121
145	199.4809127
146	199.0745799
147	198.0466373
148	197.690371
149	197.3498326
150	196.9274589
151	195.9927924
152	195.3981246
153	194.7644825
154	194.2866138
155	193.6944899
156	192.9990722
157	192.3182711
158	191.8274253
159	191.4308317
160	190.9655306
161	190.5890378
162	190.2182688
163	189.5309986
164	189.1677742
165	188.3366759
166	187.9344562
167	187.1221524
168	186.4621669
169	186.0060745
170	185.685698
171	185.1996829
172	184.8315193
173	184.1686518
174	183.4810311
175	182.7601951
176	182.42009
177	181.9300711
178	181.3131661
179	180.8999331
180	180.6087489
181	179.8755032
182	179.4087259
183	178.6887701
184	178.12774
185	177.7877719
186	177.3837019
187	176.7689918
188	176.3408501
189	176.0782136
190	175.4114358
191	175.1266682
192	174.6127916
193	174.0740526
194	173.5642277
195	172.9590167
196	172.7503528
197	172.0837638
198	171.8657517
199	171.5858198
200	171.3523741
201	170.9824917
202	170.6611813
203	170.252256
204	169.9371554
205	169.433458
206	169.098439
207	168.6666052
208	168.3770855
209	168.0322519
210	167.4799747
211	167.2621205
212	166.9987844
213	166.6274839
214	166.4011688
215	166.0306244
216	165.5047968
217	165.2140263
218	164.6876979
219	164.4465769
