iter	Passed	Remaining
0	7	3551
1	13	3469
2	21	3528
3	27	3413
4	35	3538
5	43	3545
6	50	3582
7	58	3582
8	65	3595
9	73	3578
10	79	3542
11	86	3502
12	93	3484
13	100	3506
14	107	3486
15	114	3467
16	121	3445
17	128	3431
18	134	3411
19	141	3398
20	148	3384
21	155	3371
22	162	3375
23	169	3369
24	176	3348
25	182	3335
26	188	3309
27	195	3300
28	202	3288
29	208	3273
30	215	3265
31	222	3252
32	229	3241
33	236	3234
34	244	3242
35	251	3247
36	258	3235
37	265	3228
38	272	3217
39	279	3212
40	286	3204
41	293	3200
42	300	3193
43	307	3184
44	314	3183
45	322	3182
46	328	3166
47	334	3151
48	341	3144
49	348	3133
50	355	3126
51	361	3116
52	368	3112
53	377	3114
54	385	3117
55	392	3112
56	397	3093
57	402	3069
58	408	3050
59	412	3028
60	417	3007
61	422	2985
62	427	2965
63	432	2945
64	437	2929
65	442	2910
66	448	2895
67	455	2891
68	459	2873
69	465	2857
70	470	2845
71	476	2830
72	482	2821
73	488	2811
74	493	2794
75	498	2780
76	504	2770
77	509	2756
78	515	2745
79	520	2731
80	526	2725
81	532	2712
82	538	2702
83	544	2697
84	551	2692
85	557	2682
86	563	2673
87	569	2664
88	575	2656
89	581	2647
90	587	2638
91	592	2629
92	599	2622
93	605	2613
94	610	2602
95	616	2592
96	621	2582
97	628	2577
98	635	2574
99	641	2567
100	648	2560
101	654	2551
102	660	2546
103	667	2541
104	674	2535
105	680	2529
106	686	2520
107	692	2513
108	698	2507
109	704	2499
110	710	2490
111	716	2481
112	722	2472
113	728	2466
114	735	2461
115	741	2454
116	747	2447
117	753	2438
118	759	2431
119	765	2423
120	771	2416
121	778	2411
122	784	2404
123	791	2399
124	797	2391
125	802	2382
126	809	2376
127	814	2367
128	819	2358
129	825	2350
130	831	2343
131	837	2336
132	844	2329
133	850	2322
134	857	2317
135	863	2309
136	869	2302
137	875	2296
138	881	2288
139	887	2280
140	893	2275
141	900	2270
142	907	2266
143	914	2261
144	921	2256
145	927	2250
146	934	2243
147	940	2237
148	946	2229
149	952	2222
150	958	2216
151	965	2211
152	972	2206
153	979	2200
154	986	2195
155	992	2188
156	998	2181
157	1004	2174
158	1010	2168
159	1017	2161
160	1024	2156
161	1030	2150
162	1037	2145
163	1043	2137
164	1049	2131
165	1056	2126
166	1063	2120
167	1070	2114
168	1077	2109
169	1084	2105
170	1091	2099
171	1097	2093
172	1104	2088
173	1111	2082
174	1118	2076
175	1124	2070
176	1130	2063
177	1136	2056
178	1143	2049
179	1149	2043
180	1154	2035
181	1160	2027
182	1167	2022
183	1173	2014
184	1180	2009
185	1186	2003
186	1192	1996
187	1199	1990
188	1206	1984
189	1212	1977
190	1218	1971
191	1224	1964
192	1231	1958
193	1237	1952
194	1243	1945
195	1249	1938
196	1255	1931
197	1262	1925
198	1268	1918
199	1274	1911
200	1280	1905
201	1287	1898
202	1293	1892
203	1299	1885
204	1305	1878
205	1311	1871
206	1317	1865
207	1324	1858
208	1330	1851
209	1335	1844
210	1342	1838
211	1348	1831
212	1354	1825
213	1361	1819
214	1367	1812
215	1374	1807
216	1380	1800
217	1386	1793
218	1393	1787
219	1399	1780
220	1406	1775
221	1411	1767
222	1417	1761
223	1424	1755
224	1430	1748
225	1437	1743
226	1444	1737
227	1451	1731
228	1458	1725
229	1464	1718
230	1470	1712
231	1477	1706
232	1483	1699
233	1489	1693
234	1495	1686
235	1501	1679
236	1507	1673
237	1514	1666
238	1520	1660
239	1526	1654
240	1533	1647
241	1539	1641
242	1545	1635
243	1551	1627
244	1557	1621
245	1563	1614
246	1570	1608
247	1576	1601
248	1583	1595
249	1588	1588
250	1594	1581
251	1600	1575
252	1606	1568
253	1613	1562
254	1619	1556
255	1625	1549
256	1632	1543
257	1639	1537
258	1645	1530
259	1651	1524
260	1657	1517
261	1663	1510
262	1669	1504
263	1675	1498
264	1682	1492
265	1687	1484
266	1693	1478
267	1699	1471
268	1706	1465
269	1712	1458
270	1718	1452
271	1724	1445
272	1730	1439
273	1736	1432
274	1742	1425
275	1749	1419
276	1754	1412
277	1760	1405
278	1766	1399
279	1772	1392
280	1778	1386
281	1784	1379
282	1790	1372
283	1796	1366
284	1802	1359
285	1808	1353
286	1815	1347
287	1821	1340
288	1827	1334
289	1833	1327
290	1840	1321
291	1846	1315
292	1852	1308
293	1858	1301
294	1864	1295
295	1870	1289
296	1877	1283
297	1883	1276
298	1889	1270
299	1896	1264
300	1902	1257
301	1908	1251
302	1915	1245
303	1922	1239
304	1929	1233
305	1936	1227
306	1942	1221
307	1948	1214
308	1954	1208
309	1961	1201
310	1968	1196
311	1975	1190
312	1981	1184
313	1988	1178
314	1995	1171
315	2000	1165
316	2006	1158
317	2013	1152
318	2018	1145
319	2025	1139
320	2032	1133
321	2038	1127
322	2045	1121
323	2051	1114
324	2058	1108
325	2064	1101
326	2070	1095
327	2076	1088
328	2082	1082
329	2088	1075
330	2094	1069
331	2101	1063
332	2107	1056
333	2113	1050
334	2119	1043
335	2125	1037
336	2130	1030
337	2137	1024
338	2143	1018
339	2149	1011
340	2156	1005
341	2162	999
342	2169	992
343	2175	986
344	2181	980
345	2187	973
346	2194	967
347	2200	961
348	2207	954
349	2213	948
350	2220	942
351	2226	936
352	2234	930
353	2240	924
354	2247	917
355	2253	911
356	2259	905
357	2265	898
358	2271	892
359	2277	885
360	2284	879
361	2290	873
362	2297	867
363	2304	860
364	2310	854
365	2317	848
366	2325	842
367	2332	836
368	2338	830
369	2344	823
370	2351	817
371	2357	811
372	2363	804
373	2369	798
374	2375	791
375	2382	785
376	2388	779
377	2394	772
378	2401	766
379	2408	760
380	2415	754
381	2422	748
382	2429	742
383	2436	736
384	2443	729
385	2450	723
386	2457	717
387	2463	711
388	2469	704
389	2475	698
390	2481	691
391	2487	685
392	2494	679
393	2500	672
394	2506	666
395	2512	659
396	2519	653
397	2525	647
398	2532	640
399	2538	634
400	2545	628
401	2551	622
402	2556	615
403	2562	608
404	2568	602
405	2575	596
406	2581	589
407	2587	583
408	2594	577
